========================================================================================================================

Monograms

========================================================================================================================
Monograms with spaces

а | 264  | 0.05719237435008666
б | 49   | 0.01061525129982669
в | 190  | 0.04116117850953206
г | 88   | 0.019064124783362217
д | 159  | 0.034445407279029464
е | 292  | 0.0632582322357019
ё | 0    | 0.0
ж | 32   | 0.006932409012131715
з | 63   | 0.013648180242634315
и | 210  | 0.04549393414211438
й | 84   | 0.018197573656845753
к | 123  | 0.026646447140381283
л | 198  | 0.04289428076256499
м | 101  | 0.021880415944540727
н | 284  | 0.06152512998266898
о | 411  | 0.08903812824956672
п | 94   | 0.020363951473136917
р | 159  | 0.034445407279029464
с | 213  | 0.04614384748700173
т | 229  | 0.04961005199306759
у | 106  | 0.02296360485268631
ф | 2    | 0.0004332755632582322
х | 31   | 0.006715771230502599
ц | 17   | 0.003682842287694974
ч | 66   | 0.014298093587521665
ш | 35   | 0.007582322357019064
щ | 10   | 0.002166377816291161
ь | 90   | 0.01949740034662045
ъ | 0    | 0.0
ы | 79   | 0.017114384748700175
э | 14   | 0.0030329289428076256
ю | 25   | 0.005415944540727903
я | 110  | 0.023830155979202773
  | 788  | 0.1707105719237435

Without space

а | 264  | 0.06896551724137931
б | 49   | 0.012800417972831766
в | 190  | 0.04963427377220481
г | 88   | 0.022988505747126436
д | 159  | 0.041536050156739814
е | 292  | 0.07628004179728318
ё | 0    | 0.0
ж | 32   | 0.008359456635318705
з | 63   | 0.016457680250783698
и | 210  | 0.054858934169279
й | 84   | 0.0219435736677116
к | 123  | 0.03213166144200627
л | 198  | 0.05172413793103448
м | 101  | 0.02638453500522466
н | 284  | 0.0741901776384535
о | 411  | 0.10736677115987461
п | 94   | 0.024555903866248695
р | 159  | 0.041536050156739814
с | 213  | 0.055642633228840124
т | 229  | 0.059822361546499475
у | 106  | 0.027690700104493208
ф | 2    | 0.0005224660397074191
х | 31   | 0.008098223615464995
ц | 17   | 0.004440961337513062
ч | 66   | 0.017241379310344827
ш | 35   | 0.009143155694879833
щ | 10   | 0.002612330198537095
ь | 90   | 0.023510971786833857
ъ | 0    | 0.0
ы | 79   | 0.020637408568443052
э | 14   | 0.0036572622779519333
ю | 25   | 0.006530825496342737
я | 110  | 0.028735632183908046

========================================================================================================================

Bigrams

========================================================================================================================
Non-intersectings with spaces

ка | 14 | 0.006065857885615251
кт | 4  | 0.0017331022530329288
о  | 53 | 0.02296360485268631
в  | 17 | 0.007365684575389948
по | 25 | 0.010831889081455806
лн | 4  | 0.0017331022530329288
оч | 5  | 0.002166377816291161
ь  | 31 | 0.013431542461005199
ча | 9  | 0.00389948006932409
с  | 5  | 0.002166377816291161
уг | 2  | 0.0008665511265164644
рю | 1  | 0.0004332755632582322
мы | 3  | 0.0012998266897746968
й  | 29 | 0.012564991334488735
ый | 15 | 0.006499133448873483
 т | 34 | 0.014731369150779897
яг | 1  | 0.0004332755632582322
ос | 13 | 0.005632582322357019
тн | 4  | 0.0017331022530329288
ою | 2  | 0.0008665511265164644
 д | 12 | 0.005199306759098787
ум | 4  | 0.0017331022530329288
ой | 19 | 0.008232235701906412
 н | 42 | 0.018197573656845753
ад | 7  | 0.0030329289428076256
 с | 45 | 0.01949740034662045
та | 13 | 0.005632582322357019
ри | 12 | 0.005199306759098787
нн | 4  | 0.0017331022530329288
ым | 5  | 0.002166377816291161
и  | 23 | 0.00996533795493934
то | 20 | 0.008665511265164644
ма | 3  | 0.0012998266897746968
ми | 5  | 0.002166377816291161
 я | 18 | 0.00779896013864818
кл | 3  | 0.0012998266897746968
он | 15 | 0.006499133448873483
ял | 2  | 0.0008665511265164644
ся | 17 | 0.007365684575389948
 в | 40 | 0.01733102253032929
 п | 34 | 0.014731369150779897
ол | 15 | 0.006499133448873483
ус | 3  | 0.0012998266897746968
не | 27 | 0.01169844020797227
 г | 5  | 0.002166377816291161
ре | 9  | 0.00389948006932409
за | 9  | 0.00389948006932409
м  | 11 | 0.004766031195840554
ст | 25 | 0.010831889081455806
ра | 9  | 0.00389948006932409
 о | 31 | 0.013431542461005199
тд | 3  | 0.0012998266897746968
ав | 9  | 0.00389948006932409
ал | 22 | 0.009532062391681109
др | 4  | 0.0017331022530329288
ея | 3  | 0.0012998266897746968
сн | 7  | 0.0030329289428076256
 з | 12 | 0.005199306759098787
ву | 1  | 0.0004332755632582322
к  | 11 | 0.004766031195840554
зд | 6  | 0.0025996533795493936
 б | 12 | 0.005199306759098787
уд | 7  | 0.0030329289428076256
 к | 22 | 0.009532062391681109
ту | 7  | 0.0030329289428076256
лс | 4  | 0.0017331022530329288
я  | 40 | 0.01733102253032929
уч | 6  | 0.0025996533795493936
ве | 22 | 0.009532062391681109
рь | 3  | 0.0012998266897746968
мн | 9  | 0.00389948006932409
е  | 33 | 0.014298093587521665
эт | 4  | 0.0017331022530329288
рн | 9  | 0.00389948006932409
пр | 9  | 0.00389948006932409
ош | 2  | 0.0008665511265164644
еп | 5  | 0.002166377816291161
л  | 31 | 0.013431542461005199
го | 13 | 0.005632582322357019
но | 22 | 0.009532062391681109
ти | 9  | 0.00389948006932409
ши | 3  | 0.0012998266897746968
ть | 5  | 0.002166377816291161
чи | 2  | 0.0008665511265164644
тс | 6  | 0.0025996533795493936
дв | 5  | 0.002166377816291161
ер | 16 | 0.006932409012131715
ко | 13 | 0.005632582322357019
 м | 20 | 0.008665511265164644
ю  | 7  | 0.0030329289428076256
ож | 2  | 0.0008665511265164644
ид | 3  | 0.0012998266897746968
ан | 6  | 0.0025996533795493936
ье | 7  | 0.0030329289428076256
